,pred
2024-02-28,1323.9818
2024-02-29,1298.8622
2024-03-01,1289.2843
2024-03-02,1300.8823
2024-03-03,1270.95
2024-03-04,1228.8344
2024-03-05,1222.754
2024-03-06,1212.2384
2024-03-07,1206.6105
2024-03-08,1202.143
2024-03-09,1238.383
2024-03-10,1238.383
2024-03-11,1204.6249
2024-03-12,1204.6249
2024-03-13,1204.6249
2024-03-14,1204.6249
2024-03-15,1192.6825
2024-03-16,1228.9229
2024-03-17,2022.305
2024-03-18,2005.5261
2024-03-19,2005.5261
2024-03-20,2002.1245
2024-03-21,2008.0453
2024-03-22,2008.0453
2024-03-23,2045.196
2024-03-24,2045.196
2024-03-25,1198.9344
2024-03-26,1198.9344
2024-03-27,1198.9344
2024-03-28,1198.9344
2024-03-29,1198.1371
2024-03-30,1234.3774
2024-03-31,1234.3774
2024-04-01,1197.1022
2024-04-02,1195.1017
2024-04-03,1195.1017
2024-04-04,1168.4286
2024-04-05,1168.4286
2024-04-06,1204.669
2024-04-07,1204.669
2024-04-08,1159.9799
2024-04-09,1156.65
2024-04-10,1154.8513
2024-04-11,1154.8513
2024-04-12,1153.2904
2024-04-13,1188.2502
2024-04-14,1188.2502
2024-04-15,1146.328
2024-04-16,1143.8885
2024-04-17,1140.3075
2024-04-18,1140.3075
2024-04-19,1136.9352
2024-04-20,1167.9722
2024-04-21,1158.7668
2024-04-22,1122.5267
2024-04-23,1123.8131
2024-04-24,1123.8131
2024-04-25,1123.8131
2024-04-26,1123.8131
2024-04-27,1162.0879
2024-04-28,1160.7903
2024-04-29,1124.5499
2024-04-30,1119.0001
2024-05-01,1117.9125
2024-05-02,1115.712
2024-05-03,1115.712
2024-05-04,1152.3352
2024-05-05,1152.3352
2024-05-06,1106.4142
2024-05-07,1106.4142
2024-05-08,1106.4142
2024-05-09,1106.4073
2024-05-10,1106.4073
2024-05-11,1141.3179
2024-05-12,1131.1038
2024-05-13,1090.5118
2024-05-14,1090.5118
2024-05-15,1082.7552
2024-05-16,1082.5585
2024-05-17,1078.7229
2024-05-18,1114.963
2024-05-19,1114.963
2024-05-20,1078.7229
2024-05-21,1078.1396
2024-05-22,1078.1396
2024-05-23,1078.1396
2024-05-24,1078.1396
2024-05-25,1114.38
2024-05-26,1114.38
2024-05-27,1078.1396
2024-05-28,1078.1396
2024-05-29,1078.1396
2024-05-30,1078.1396
2024-05-31,1078.1396
2024-06-01,1114.38
2024-06-02,1114.38
2024-06-03,1078.1396
2024-06-04,1078.1396
2024-06-05,1078.1396
2024-06-06,1078.1396
2024-06-07,1078.1396
2024-06-08,1114.38
2024-06-09,1114.38
2024-06-10,1078.1396
2024-06-11,1078.1396
2024-06-12,1078.1396
2024-06-13,1078.1396
2024-06-14,1076.8619
2024-06-15,1112.9375
2024-06-16,1108.9319
2024-06-17,1072.6918
2024-06-18,1072.6918
2024-06-19,1072.6918
2024-06-20,1072.6918
2024-06-21,1072.6918
2024-06-22,1108.9319
2024-06-23,1108.9319
2024-06-24,1614.261
2024-06-25,1593.8987
2024-06-26,1579.4001
2024-06-27,1537.886
2024-06-28,1537.886
2024-06-29,1571.2974
2024-06-30,1571.2974
2024-07-01,1534.1464
2024-07-02,1534.1464
2024-07-03,1534.1464
2024-07-04,1534.1464
2024-07-05,1534.1464
2024-07-06,1571.2974
2024-07-07,1571.2974
2024-07-08,1534.1464
2024-07-09,1534.1464
2024-07-10,1539.9789
2024-07-11,1546.2516
2024-07-12,1546.9359
2024-07-13,1584.0869
2024-07-14,1584.0869
2024-07-15,1557.3485
2024-07-16,1557.3485
2024-07-17,1572.2059
2024-07-18,1572.2059
2024-07-19,1586.2623
2024-07-20,1623.4133
2024-07-21,1655.3715
2024-07-22,1618.4017
2024-07-23,1637.8015
2024-07-24,1637.8015
2024-07-25,1685.3286
2024-07-26,1710.6376
2024-07-27,1747.7883
2024-07-28,1759.3921
2024-07-29,1740.3256
2024-07-30,1795.216
2024-07-31,1795.216
2024-08-01,1835.8319
2024-08-02,1855.8727
2024-08-03,1893.0234
2024-08-04,1893.0234
2024-08-05,1855.8727
2024-08-06,1855.8727
2024-08-07,1889.1134
2024-08-08,1889.1134
2024-08-09,1895.539
2024-08-10,1945.3779
2024-08-11,1945.3779
2024-08-12,1979.3734
2024-08-13,1979.3734
2024-08-14,1936.0725
2024-08-15,1730.8717
2024-08-16,1593.8209
2024-08-17,1625.321
2024-08-18,1625.321
2024-08-19,1587.2119
2024-08-20,1569.7745
2024-08-21,1569.7745
2024-08-22,1569.7745
2024-08-23,1569.7745
2024-08-24,1606.9253
2024-08-25,1606.9253
2024-08-26,1565.539
2024-08-27,1561.5431
2024-08-28,1561.5431
2024-08-29,1561.5431
2024-08-30,1561.5431
2024-08-31,1598.6938
2024-09-01,1599.5385
2024-09-02,1561.5431
2024-09-03,1561.5431
2024-09-04,1561.5431
2024-09-05,1561.5431
2024-09-06,1561.5431
2024-09-07,1598.6938
2024-09-08,1599.5385
2024-09-09,1561.5431
2024-09-10,1561.5431
2024-09-11,1561.5431
2024-09-12,1561.5431
2024-09-13,1561.5431
2024-09-14,1598.6938
2024-09-15,1599.5385
2024-09-16,1561.5431
2024-09-17,1561.5431
2024-09-18,1561.5431
2024-09-19,1561.5431
2024-09-20,1561.5431
2024-09-21,1598.6938
2024-09-22,1599.5385
2024-09-23,1561.5431
2024-09-24,1561.5431
2024-09-25,1561.5431
2024-09-26,1561.5431
2024-09-27,1561.5431
2024-09-28,1598.6938
2024-09-29,1599.5385
2024-09-30,1561.5431
2024-10-01,1561.5431
2024-10-02,1561.5431
2024-10-03,1561.5431
2024-10-04,1561.5431
2024-10-05,1598.6938
2024-10-06,1599.5385
2024-10-07,1556.0214
2024-10-08,1548.4137
2024-10-09,1548.4137
2024-10-10,1548.4137
2024-10-11,1548.4137
2024-10-12,1585.5645
2024-10-13,1586.409
2024-10-14,1543.1136
2024-10-15,1543.1136
2024-10-16,1543.1136
2024-10-17,1543.1136
2024-10-18,1543.1136
2024-10-19,1580.2644
2024-10-20,1567.0331
2024-10-21,1530.279
2024-10-22,1529.6968
2024-10-23,1527.1829
2024-10-24,1529.0157
2024-10-25,1529.0157
2024-10-26,1566.1665
2024-10-27,1564.124
2024-10-28,1530.6681
2024-10-29,1515.7517
2024-10-30,1513.1459
2024-10-31,1511.8856
2024-11-01,1511.8856
2024-11-02,1549.0366
2024-11-03,1525.7119
2024-11-04,1484.475
2024-11-05,1484.475
2024-11-06,1461.4113
2024-11-07,1461.4113
2024-11-08,1461.4113
2024-11-09,1492.4111
2024-11-10,1490.6826
2024-11-11,1452.8615
2024-11-12,1452.8615
2024-11-13,1451.1449
2024-11-14,1451.1449
2024-11-15,1451.1449
2024-11-16,1488.2957
2024-11-17,1479.5796
2024-11-18,1442.4286
2024-11-19,1417.3146
2024-11-20,1417.3146
2024-11-21,1392.7413
2024-11-22,1392.7413
2024-11-23,1446.7838
2024-11-24,1430.4264
2024-11-25,1393.2754
2024-11-26,1381.5176
2024-11-27,1381.5176
2024-11-28,1372.1294
2024-11-29,1372.1294
2024-11-30,1398.277
2024-12-01,1392.4857
